,cumnum,number,level,control_name,root,leaf,compliance_pct,compliance_status,severity,impact,frequency,weight
7,10000,1,1,access control,True,0,-1,,,,,-1
84,11000,1.1,2,ac-01 access control policy and procedures,False,1,100,pass,high,high,medium,5
8,12000,1.2,2,ac-02 account management,False,0,-1,,,,,-1
113,12100,1.2.1,3,ac-02(02) removal of temporary/emergency accounts,False,1,100,pass,medium,medium,high,5
86,12200,1.2.2,3,ac-02(03) disable inactive accounts,False,1,63,fail,medium,medium,high,5
82,12300,1.2.3,3,ac-02(12) atypical usage,False,1,76,fail,high,high,medium,5
83,12400,1.2.4,3,ac-07 unsuccessful logon  attempts,False,1,-1,non-determinant,medium,medium,medium,4
6,12500,1.2.5,3,ac-06-(09) auditing use of privileged functions,False,1,-1,non-determinant,medium,medium,medium,4
5,12600,1.2.6,3,ac-11 session lock,False,1,100,pass,medium,medium,medium,4
110,12700,1.2.7,3,ac-12 session termination,False,1,-1,non-determinant,critical,critical,medium,7
115,12800,1.2.8,3,ac17-(09) remote access disable,False,1,100,pass,low,low,high,4
0,12900,1.2.9,3,ac-18 wireless access,False,0,-1,,,,,-1
67,12910,1.2.9.1,4,wireless access new user access,False,1,100,pass,low,low,high,4
85,12920,1.2.9.2,4,wireless access user termination,False,1,100,pass,critical,critical,high,9
1,13000,1.2.10,3,ac-19 access control for mobile devices,False,1,56,fail,critical,critical,low,5
87,13100,1.2.11,3,ac-02-(05) inactivity logout,False,1,100,pass,low,low,medium,3
2,13200,1.2.12,3,ac-19-(05) access control for mobile devices | full device / container-based encryption,False,1,-1,non-determinant,high,high,medium,5
9,13300,1.2.13,3,ac-22 publicly accessible content,False,1,-1,non-determinant,medium,medium,medium,4
3,20000,2,1,awareness and training,True,0,-1,,,,,-1
88,21000,2.1,2,at-01 security awareness and training procedures,False,1,-1,non-determinant,medium,medium,high,5
75,22000,2.2,2,at-02 security awareness training,False,1,100,pass,low,low,high,4
74,23000,2.3,2,at-03 role-based security training,False,1,-1,non-determinant,high,high,high,7
76,24000,2.4,2,at-04 security training  records,False,1,72,fail,high,high,high,7
11,30000,3,1,audit and accountability,True,0,-1,,,,,-1
89,31000,3.1,2,au-01 audit and accountability policy and procedures,False,1,77,fail,low,low,high,4
71,32000,3.2,2,au-08(01) time stamps | synchronization with authoritative time source,False,1,-1,non-determinant,low,low,low,1
73,33000,3.3,2,au-09(02) protection of audit information | audit backup on separate physical systems / components,False,1,100,pass,critical,critical,high,9
72,34000,3.4,2,au-11 audit record retention,False,1,-1,non-determinant,low,low,critical,5
68,35000,3.5,2,au-02(03) audit events | reviews and updates,False,1,83,fail,critical,critical,low,5
114,36000,3.6,2,"au-06 audit review, analysis, and reporting",False,1,100,pass,high,high,critical,9
18,37000,3.7,2,au-02 audit events,False,1,100,pass,low,low,critical,5
12,40000,4,1,security assessment and authorization,True,0,-1,,,,,-1
90,41000,4.1,2,"ca-01 security assessment and authorization
policy and  procedures",False,1,-1,non-determinant,medium,medium,low,3
108,42000,4.2,2,ca-02 security assessments,False,1,100,pass,high,high,medium,5
109,43000,4.3,2,ca-05 plan of action and milestones,False,1,100,pass,medium,medium,low,3
63,44000,4.4,2,ca-08 penetration testing,False,1,-1,non-determinant,medium,medium,high,5
19,45000,4.5,2,ca-02-(02) security assessments | specialized assessments,False,1,-1,non-determinant,critical,critical,medium,7
13,46000,4.6,2,ca-03 system interconnections,False,1,60,fail,critical,critical,critical,10
20,47000,4.7,2,ca-03-(05) system interconnections | restrictions on external system connections,False,1,100,pass,medium,medium,low,3
10,48000,4.8,2,ca-07 continuous monitoring,False,1,80,fail,critical,critical,low,5
21,49000,4.9,2,ca-09 internal system connections,False,1,55,fail,critical,critical,high,9
14,50000,5,1,configuration management,True,0,-1,,,,,-1
91,51000,5.1,2,"cm-01 configuration management policy and
procedures",False,1,100,pass,critical,critical,low,5
81,52000,5.2,2,cm-03 configuration change control(servicenow),False,1,100,pass,critical,critical,high,9
59,53000,5.3,2,"cm-05(05) access restrictions for change | limit production /
operational privileges",False,1,100,pass,high,high,medium,5
92,54000,5.4,2,cm-09 configuration management plan,False,1,-1,non-determinant,low,low,low,1
17,55000,5.5,2,cm-02-(01) baseline configuration | reviews and updates,False,1,-1,non-determinant,high,high,medium,5
25,56000,5.6,2,cm-06 configuration settings,False,1,82,fail,medium,medium,critical,7
33,57000,5.7,2,cm-07-(01) least functionality | periodic review,False,1,-1,non-determinant,critical,critical,high,9
26,58000,5.8,2,cm-07-(05) least functionality | authorized software / whitelisting,False,1,100,pass,low,low,critical,5
34,59000,5.9,2,cm-08 information system component inventory,False,1,100,pass,critical,critical,high,9
27,60000,5.10,2,cm-08-(03) information system component inventory | automated unauthorized component detection,True,0,-1,,,,,-1
28,60000,6,1,contingency planning,True,0,-1,,,,,-1
101,61000,6.1,2,"cp-01 contingency planning policy and
procedures",False,1,-1,non-determinant,medium,medium,high,5
102,62000,6.2,2,cp-02 contingency plan,False,1,100,pass,medium,medium,low,3
77,63000,6.3,2,cp-03 contingency training,False,1,100,pass,high,high,high,7
64,64000,6.4,2,cp-04 contingency plan testing,False,1,-1,non-determinant,low,low,high,4
60,65000,6.5,2,cp-09(01) information system backup | testing for reliability / integrity,False,1,59,fail,medium,medium,critical,7
29,70000,7,1,identification and authentication,True,0,-1,,,,,-1
103,71000,7.1,2,"ia-01 identification and authentication policy and
procedures",False,1,-1,non-determinant,high,high,critical,9
30,72000,7.2,2,ia-04 identifier management,False,1,81,fail,medium,medium,high,5
23,73000,7.3,2,ia-05 authenticator management,False,1,68,fail,low,low,low,1
31,74000,7.4,2,ia-05-(01) authenticator management | password-based authentication,False,1,-1,non-determinant,high,high,high,7
24,80000,8,1,incident response,True,0,-1,,,,,-1
104,81000,8.1,2,ir-01 incident response policy and procedures,False,1,75,fail,medium,medium,critical,7
78,82000,8.2,2,ir-02 incident response training,False,1,100,pass,critical,critical,medium,7
105,83000,8.3,2,ir-08 incident response plan,False,1,100,pass,high,high,high,7
79,84000,8.4,2,ir-09-(02) information spillage response | training,False,1,100,pass,high,high,critical,9
62,85000,8.5,2,ir-03 incident response testing,False,1,76,fail,medium,medium,high,5
22,86000,8.6,2,ir-06 incident reporting,False,1,100,pass,medium,medium,medium,4
32,90000,9,1,maintainence,True,0,-1,,,,,-1
106,91000,9.1,2,ma-01 system maintenance policy and procedures,False,1,-1,non-determinant,critical,critical,low,5
37,92000,9.2,2,ma-04 nonlocal maintenance,False,1,57,fail,high,high,critical,9
35,100000,10,1,media protection ,True,0,-1,,,,,-1
107,101000,10.1,2,mp-01 media protection policy and procedures,False,1,-1,non-determinant,critical,critical,low,5
61,102000,10.2,2,mp-06(02) media sanitization | equipment testing,False,1,100,pass,critical,critical,high,9
38,110000,11,1,physical and environmental protection,True,0,-1,,,,,-1
93,111000,11.1,2,"pe-01 physical and environmental protection
policy and procedures",False,1,-1,non-determinant,critical,critical,high,9
66,112000,11.2,2,pe-02 physical access authorization,False,1,64,fail,low,low,critical,5
36,113000,11.3,2,pe-03 physical access control,False,1,82,fail,low,low,medium,3
39,114000,11.4,2,pe-06 monitoring physical access,False,1,-1,non-determinant,medium,medium,medium,4
65,115000,11.5,2,pe-08 visitor access records,False,1,100,pass,high,high,medium,5
40,120000,12,1,planning,True,0,-1,,,,,-1
